lan_code,cluster,count,total_count,fraction
epo,44,563,48190,0.01168292176800166
epo,46,363,10402,0.034897135166314174
epo,49,8,5366,0.0014908684308609765
epo,51,4102,4165,0.984873949579832
epo,54,662,15063,0.04394874858925845
epo,55,1,9825,0.00010178117048346055
epo,58,12,5228,0.0022953328232593728
epo,65,1,10737,9.313588525658937e-05
epo,71,5834,6319,0.9232473492641241
epo,73,8499,8716,0.9751032583754016
epo,75,2,14620,0.00013679890560875513
epo,79,1,11307,8.844078889183692e-05
epo,83,4013,4698,0.8541932737335036
epo,84,180,14179,0.012694830382960716
epo,85,11392,12021,0.9476749022543881
epo,87,152,6156,0.024691358024691357
epo,89,12835,29819,0.43043026258425837
epo,91,4,12006,0.0003331667499583542
epo,99,1,14778,6.766815536608472e-05
epo,100,2,3341,0.000598623166716552
epo,103,6,9557,0.0006278120749189076
epo,124,2416,2416,1.0
epo,128,6234,14329,0.43506176285853865
epo,129,10060,18235,0.5516863175212503
epo,130,1,2014,0.0004965243296921549
epo,135,1,4664,0.0002144082332761578
epo,145,140,6139,0.02280501710376283
epo,148,2,1600,0.00125
epo,157,6901,7502,0.9198880298587043
epo,158,3,7299,0.0004110152075626798
epo,166,80,4533,0.017648356496801236
epo,167,2,9647,0.0002073183373069348
epo,169,1,14238,7.023458350891979e-05
epo,173,7,3532,0.0019818799546998866
epo,174,3421,15784,0.2167384693360365
epo,175,4,8843,0.00045233518036865317
epo,180,750,6916,0.10844418739155581
epo,182,49,8003,0.006122703986005248
epo,188,14301,644468,0.022190395799325954
epo,198,11,21515,0.0005112712061352545
fin,4,4,6583,0.0006076257025672186
fin,13,3,25534,0.0001174904049502624
fin,17,231,6088,0.03794349540078844
fin,20,1,17300,5.7803468208092484e-05
fin,21,1104,10898,0.10130299137456414
fin,23,4,10164,0.0003935458480913026
fin,34,750,10376,0.0722821896684657
fin,43,3,7719,0.000388651379712398
fin,44,4017,48190,0.08335754305872588
fin,46,1807,10402,0.17371659296289174
fin,48,117,13724,0.008525211308656369
fin,71,11,6319,0.001740781769267289
fin,76,7169,7169,1.0
fin,77,1,11267,8.875477056891808e-05
fin,81,2,14726,0.00013581420616596497
fin,84,168,14179,0.011848508357430003
fin,88,2,24564,8.141996417521577e-05
fin,89,2,29819,6.70713303598377e-05
fin,91,1,12006,8.329168748958855e-05
fin,95,769,769,1.0
fin,100,23,3341,0.006884166417240347
fin,103,1076,9557,0.1125876321021241
fin,107,1502,1502,1.0
fin,109,1,5605,0.0001784121320249777
fin,111,7089,7125,0.9949473684210526
fin,125,4170,4170,1.0
fin,127,4065,4065,1.0
fin,128,328,14329,0.02289064135668923
fin,135,868,4664,0.18610634648370497
fin,142,3954,3954,1.0
fin,145,5,6139,0.0008144648965629581
fin,156,978,978,1.0
fin,167,2,9647,0.0002073183373069348
fin,174,4311,15784,0.27312468322351746
fin,175,1,8843,0.00011308379509216329
fin,180,3,6916,0.00043377674956622325
fin,181,8,10950,0.0007305936073059361
fin,182,175,8003,0.021866799950018743
fin,188,51853,644468,0.0804586108231906
fin,189,2070,2070,1.0
fin,198,17934,21515,0.8335579828026958
fra,4,2,6583,0.0003038128512836093
fra,13,4470,25534,0.17506070337589097
fra,15,47,6326,0.007429655390452102
fra,16,5723,5734,0.9980816184164633
fra,17,41,6088,0.006734559789750329
